CAMERA_ID,TIMESTAMP,GEO_LON,GEO_LAT,DENSITY_VALUE
4,2010-10-11 09:30:00,-0.22727762,51.491661,53547.356499999994
4,2010-10-11 10:00:00,-0.22727761999999999,51.49166100000001,46199.70087500001
4,2010-10-11 10:30:00,-0.22727762,51.49166100000001,39602.70590000001
4,2010-10-11 11:00:00,-0.22727761999999999,51.49166100000001,27179.430333333334
4,2010-10-11 11:30:00,-0.22727762,51.49166100000001,23527.222299999998
4,2010-10-11 12:00:00,-0.22727762,51.49166100000001,19940.461499999998
4,2010-10-11 12:30:00,-0.22727762,51.49166100000001,20405.22
4,2010-10-11 13:00:00,-0.22727762,51.49166100000001,21775.247
4,2010-10-11 13:30:00,-0.22727762,51.49166100000001,18727.3099
4,2010-10-11 14:00:00,-0.22727762,51.49166100000001,17784.1567
4,2010-10-11 14:30:00,-0.22727762,51.49166100000001,22258.3103
4,2010-10-11 15:00:00,-0.22727761999999999,51.49166100000001,22193.410571428572
4,2010-10-11 15:30:00,-0.22727762,51.49166100000001,27519.3015
4,2010-10-11 16:00:00,-0.22727762,51.49166100000001,28997.9869
4,2010-10-11 16:30:00,-0.22727761999999999,51.49166100000001,35023.966857142856
4,2010-10-11 17:00:00,-0.22727761999999999,51.49166100000001,40253.14211111111
4,2010-10-11 17:30:00,-0.22727762,51.49166100000001,36202.488399999995
4,2010-10-11 18:00:00,-0.22727762,51.49166100000001,31065.698600000003
4,2010-10-11 18:30:00,-0.22727762,51.49166100000001,40567.352100000004
4,2010-10-12 09:30:00,-0.22727762,51.491661,26398.705
4,2010-10-12 10:00:00,-0.22727761999999999,51.49166100000001,25672.277749999997
4,2010-10-12 10:30:00,-0.22727761999999999,51.49166100000001,25540.810749999997
4,2010-10-12 11:00:00,-0.22727761999999999,51.49166100000001,22867.27433333334
4,2010-10-12 11:30:00,-0.22727762,51.49166100000001,24570.4754
4,2010-10-12 12:00:00,-0.22727762,51.49166100000001,21527.2395
4,2010-10-12 12:30:00,-0.22727761999999999,51.49166100000001,18580.63366666667
4,2010-10-12 13:00:00,-0.22727762,51.49166100000001,17559.59201
4,2010-10-12 13:30:00,-0.22727762,51.49166100000001,14780.538499999999
4,2010-10-12 14:00:00,-0.22727762,51.49166100000001,12385.940599999998
4,2010-10-12 14:30:00,-0.22727762,51.49166100000001,12073.5232
4,2010-10-12 15:00:00,-0.22727762,51.49166100000001,13765.6294
4,2010-10-12 15:30:00,-0.22727761999999999,51.49166100000001,15480.765125
4,2010-10-12 16:00:00,-0.22727761999999999,51.49166100000001,21605.077111111113
4,2010-10-12 16:30:00,-0.22727762,51.49166100000001,29201.360800000002
4,2010-10-12 17:00:00,-0.22727761999999999,51.49166100000001,34133.601142857144
4,2010-10-12 17:30:00,-0.22727761999999999,51.49166100000001,28020.776111111114
4,2010-10-12 18:00:00,-0.22727761999999999,51.49166100000001,26748.942124999998
4,2010-10-12 18:30:00,-0.22727762,51.49166100000001,35026.74
4,2010-10-13 09:30:00,-0.22727762,51.491661000000015,27439.409363636365
4,2010-10-13 10:00:00,-0.22727761999999999,51.49166100000001,23829.38388888889
4,2010-10-13 10:30:00,-0.22727761999999999,51.49166100000001,23154.393222222225
4,2010-10-13 11:00:00,-0.22727762,51.491661000000015,22580.220636363636
4,2010-10-13 11:30:00,-0.22727761999999999,51.49166100000001,21401.707000000002
4,2010-10-13 12:00:00,-0.22727762,51.49166100000001,18436.2117
4,2010-10-13 12:30:00,-0.22727762,51.49166100000001,20608.2183
4,2010-10-13 13:00:00,-0.22727761999999999,51.49166100000001,20826.935666666668
4,2010-10-13 13:30:00,-0.22727761999999999,51.49166100000001,19294.396625
4,2010-10-13 14:00:00,-0.22727761999999999,51.49166100000001,18996.723
4,2010-10-13 14:30:00,-0.22727762,51.49166100000001,17510.738400000002
4,2010-10-13 15:00:00,-0.22727761999999999,51.49166100000001,16462.904
4,2010-10-13 15:30:00,-0.22727762,51.49166100000001,17921.0277
4,2010-10-13 16:00:00,-0.22727761999999999,51.49166100000001,18780.315333333332
4,2010-10-13 16:30:00,-0.22727762,51.49166100000001,17941.1899
4,2010-10-13 17:00:00,-0.22727762,51.49166100000001,17522.5507
4,2010-10-13 17:30:00,-0.22727762,51.49166100000001,17103.9115
4,2010-10-13 18:00:00,-0.22727762,51.49166100000001,16685.2723
4,2010-10-13 18:30:00,-0.22727762,51.49166100000001,16266.6331
4,2010-10-14 09:30:00,-0.22727762,51.49166100000001,15847.993899999998
4,2010-10-14 10:00:00,-0.22727762,51.49166100000001,15652.3705
4,2010-10-14 10:30:00,-0.22727761999999999,51.49166100000001,17462.473125
4,2010-10-14 11:00:00,-0.22727762,51.49166100000001,15592.013200000001
4,2010-10-14 11:30:00,-0.22727762,51.49166100000001,14152.67422
4,2010-10-14 12:00:00,-0.22727762,51.49166100000001,14430.68601
4,2010-10-14 12:30:00,-0.22727762,51.49166100000001,12795.883299999998
4,2010-10-14 13:00:00,-0.22727762,51.491661,9283.86175
4,2010-10-14 13:30:00,-0.22727762,51.491661,9652.694320833334
4,2010-10-14 14:00:00,-0.22727762,51.491661,10021.526891666666
4,2010-10-14 14:30:00,-0.22727762,51.491661,10390.3594625
4,2010-10-14 15:00:00,-0.22727762,51.491661,10759.192033333335
4,2010-10-14 15:30:00,-0.22727762,51.491661,11128.024604166667
4,2010-10-14 16:00:00,-0.22727762,51.49166100000001,11496.857175000001
4,2010-10-14 16:30:00,-0.22727762,51.49166100000001,11865.689745833333
4,2010-10-14 17:00:00,-0.22727762,51.49166100000001,12234.522316666667
